process_name,notes,contributor_id,date_created,date_updated,process_name_id
"nuclear power",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",317
capacitors,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",318
"other electronics",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",319
"cutting tools",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",320
crucibles,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",321
electrochemicals,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",322
chemical,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",323
dental,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",324
"radiation detection",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",325
"sheet pipe",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",326
"cable sheathing",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",327
photovoltaics,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",328
photoreceptors,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",329
rectifiers,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",330
orphaned,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",331
"radioactive decay",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",332
